,date,open,close,high,low,volume,code
0,2001-08-27,-160.855,-160.67,-160.274,-161.15,406318.0,sh600519
1,2001-08-28,-160.769,-160.437,-160.412,-160.837,129647.79,sh600519
2,2001-08-29,-160.416,-160.522,-160.412,-160.572,53252.75,sh600519
3,2001-08-30,-160.54,-160.394,-160.322,-160.59,48013.06,sh600519
4,2001-08-31,-160.386,-160.41,-160.302,-160.448,23231.48,sh600519
5,2001-09-03,-160.377,-160.414,-160.311,-160.439,22112.09,sh600519
6,2001-09-04,-160.41,-160.331,-160.22,-160.434,37006.77,sh600519
7,2001-09-05,-160.304,-160.334,-160.249,-160.375,26066.95,sh600519
8,2001-09-06,-160.35,-160.466,-160.329,-160.499,28997.03,sh600519
9,2001-09-07,-160.501,-160.647,-160.421,-160.652,31552.25,sh600519
10,2001-09-10,-160.697,-160.466,-160.439,-160.766,18878.89,sh600519
11,2001-09-11,-160.448,-160.538,-160.421,-160.554,11390.81,sh600519
12,2001-09-12,-160.709,-160.593,-160.554,-160.714,25045.19,sh600519
13,2001-09-13,-160.588,-160.609,-160.537,-160.643,10986.68,sh600519
14,2001-09-14,-160.588,-160.537,-160.501,-160.625,7672.83,sh600519
15,2001-09-17,-160.576,-160.618,-160.538,-160.679,8983.97,sh600519
16,2001-09-18,-160.611,-160.546,-160.492,-160.617,10773.26,sh600519
17,2001-09-19,-160.537,-160.426,-160.426,-160.579,8650.53,sh600519
18,2001-09-20,-160.43,-160.482,-160.403,-160.501,11173.35,sh600519
19,2001-09-21,-160.54,-160.579,-160.483,-160.59,7879.72,sh600519
20,2001-09-24,-160.579,-160.581,-160.521,-160.59,4068.6,sh600519
21,2001-09-25,-160.54,-160.549,-160.494,-160.581,3488.45,sh600519
22,2001-09-26,-160.57,-160.576,-160.505,-160.59,4956.26,sh600519
23,2001-09-27,-160.576,-160.466,-160.416,-160.59,8778.04,sh600519
24,2001-09-28,-160.43,-160.396,-160.377,-160.501,17088.47,sh600519
25,2001-10-08,-160.412,-160.487,-160.38,-160.546,6552.17,sh600519
26,2001-10-09,-160.483,-160.359,-160.323,-160.483,9558.52,sh600519
27,2001-10-10,-160.359,-160.572,-160.336,-160.585,17548.69,sh600519
28,2001-10-11,-160.588,-160.634,-160.501,-160.652,12306.84,sh600519
29,2001-10-12,-160.608,-160.59,-160.474,-160.936,20010.7,sh600519
30,2001-10-15,-160.608,-160.714,-160.59,-160.785,9755.31,sh600519
31,2001-10-16,-160.745,-160.803,-160.625,-160.812,8319.91,sh600519
32,2001-10-17,-160.805,-160.91,-160.801,-160.963,12507.68,sh600519
33,2001-10-18,-160.91,-160.938,-160.828,-160.961,4983.46,sh600519
34,2001-10-19,-160.945,-161.034,-160.919,-161.121,15687.54,sh600519
35,2001-10-22,-161.07,-161.16,-160.999,-161.176,9760.65,sh600519
36,2001-10-23,-160.59,-160.578,-160.578,-160.766,40598.24,sh600519
